player_link,player,team,start_date,end_date
https://en.khl.ru/players/16785/?idplayer=16785&PAGEN_1=1,Juhamatti Aaltonen,Jokerit,4 Sep 2014,2 Mar 2016
https://en.khl.ru/players/16785/?idplayer=16785&PAGEN_1=1,Juhamatti Aaltonen,Metallurg Mg,9 Sep 2010,22 Mar 2012
https://en.khl.ru/players/17585/?idplayer=17585&PAGEN_1=1,Miro Aaltonen,Vityaz,2 Sep 2021,11 Jan 2022
https://en.khl.ru/players/17585/?idplayer=17585&PAGEN_1=1,Miro Aaltonen,SKA,17 Dec 2019,27 Feb 2021
https://en.khl.ru/players/17585/?idplayer=17585&PAGEN_1=1,Miro Aaltonen,Vityaz,27 Aug 2016,9 Dec 2019
https://en.khl.ru/players/13041/?idplayer=13041&PAGEN_1=1,Ruslan Abdrakhmanov,Amur,2 Sep 2008,14 Feb 2009
https://en.khl.ru/players/38736/?idplayer=38736&PAGEN_1=1,Jindrich Abdul,Severstal,3 Sep 2020,10 Mar 2021
https://en.khl.ru/players/24998/?idplayer=24998&PAGEN_1=1,Ilnur Abdulkhakov,Neftekhimik,23 Dec 2017,17 Sep 2019
https://en.khl.ru/players/13873/?idplayer=13873&PAGEN_1=1,Denis Abdullin,Vityaz,26 Aug 2015,29 Dec 2016
https://en.khl.ru/players/13873/?idplayer=13873&PAGEN_1=1,Denis Abdullin,Traktor,16 Oct 2013,23 Sep 2014
https://en.khl.ru/players/13873/?idplayer=13873&PAGEN_1=1,Denis Abdullin,Ak Bars,10 Sep 2012,19 Sep 2013
https://en.khl.ru/players/13873/?idplayer=13873&PAGEN_1=1,Denis Abdullin,Avtomobilist,14 Sep 2011,26 Feb 2012
https://en.khl.ru/players/13873/?idplayer=13873&PAGEN_1=1,Denis Abdullin,Metallurg Mg,9 Sep 2010,5 Apr 2011
https://en.khl.ru/players/13873/?idplayer=13873&PAGEN_1=1,Denis Abdullin,Amur,10 Dec 2009,7 Mar 2010
https://en.khl.ru/players/13873/?idplayer=13873&PAGEN_1=1,Denis Abdullin,HC MVD,2 Sep 2008,23 Nov 2009
https://en.khl.ru/players/19010/?idplayer=19010&PAGEN_1=1,Pontus Aberg,Traktor,3 Sep 2020,11 Mar 2021
https://en.khl.ru/players/16221/?idplayer=16221&PAGEN_1=1,Ramzi Abid,Traktor,13 Sep 2009,14 Jan 2010
https://en.khl.ru/players/19276/?idplayer=19276&PAGEN_1=1,Kirill Ablayev,Spartak,25 Aug 2015,12 Oct 2015
https://en.khl.ru/players/20861/?idplayer=20861&PAGEN_1=1,Rodrigo Abols,Dinamo R,27 Dec 2014,24 Feb 2015
https://en.khl.ru/players/23630/?idplayer=23630&PAGEN_1=1,Mikhail A. Abramov,HC Sochi,23 Sep 2022,27 Nov 2022
https://en.khl.ru/players/23630/?idplayer=23630&PAGEN_1=1,Mikhail A. Abramov,Kunlun RS,24 Oct 2021,10 Jan 2022
https://en.khl.ru/players/16673/?idplayer=16673&PAGEN_1=1,Sergei V. Abramov,Amur,28 Dec 2013,2 Nov 2014
https://en.khl.ru/players/23248/?idplayer=23248&PAGEN_1=1,Vitaly Abramov,CSKA,30 Dec 2021,29 Apr 2023
https://en.khl.ru/players/23248/?idplayer=23248&PAGEN_1=1,Vitaly Abramov,Traktor,3 Sep 2021,25 Dec 2021
https://en.khl.ru/players/17968/?idplayer=17968&PAGEN_1=1,Roman Abrosimov,Vityaz,3 Sep 2022,2 Feb 2023
https://en.khl.ru/players/17968/?idplayer=17968&PAGEN_1=1,Roman Abrosimov,Neftekhimik,19 Nov 2020,27 Feb 2021
https://en.khl.ru/players/17968/?idplayer=17968&PAGEN_1=1,Roman Abrosimov,HC Sochi,25 Dec 2019,27 Feb 2020
https://en.khl.ru/players/17968/?idplayer=17968&PAGEN_1=1,Roman Abrosimov,Ak Bars,23 Dec 2015,23 Sep 2019
https://en.khl.ru/players/30629/?idplayer=30629&PAGEN_1=1,Ruslan Abrosimov,Severstal,26 Oct 2021,14 Mar 2023
https://en.khl.ru/players/18961/?idplayer=18961&PAGEN_1=1,Kirill Adamchuk,Ak Bars,2 Sep 2021,29 Apr 2023
https://en.khl.ru/players/18961/?idplayer=18961&PAGEN_1=1,Kirill Adamchuk,Severstal,3 Sep 2020,10 Mar 2021
https://en.khl.ru/players/18961/?idplayer=18961&PAGEN_1=1,Kirill Adamchuk,Ak Bars,21 Dec 2019,25 Dec 2019
https://en.khl.ru/players/18961/?idplayer=18961&PAGEN_1=1,Kirill Adamchuk,Amur,24 Aug 2016,13 Oct 2016
https://en.khl.ru/players/18961/?idplayer=18961&PAGEN_1=1,Kirill Adamchuk,Ugra,14 Jan 2015,15 Feb 2015
https://en.khl.ru/players/13490/?idplayer=13490&PAGEN_1=1,Dmitry Afanasenkov,Avtomobilist,24 Sep 2012,29 Sep 2012
https://en.khl.ru/players/13490/?idplayer=13490&PAGEN_1=1,Dmitry Afanasenkov,Traktor,14 Oct 2010,20 Feb 2011
https://en.khl.ru/players/13490/?idplayer=13490&PAGEN_1=1,Dmitry Afanasenkov,Lokomotiv,28 Sep 2009,2 Apr 2010
https://en.khl.ru/players/13490/?idplayer=13490&PAGEN_1=1,Dmitry Afanasenkov,Dynamo M,3 Sep 2008,24 Sep 2009
https://en.khl.ru/players/27444/?idplayer=27444&PAGEN_1=1,Kristian Afanasyev,Kunlun RS,6 Sep 2022,11 Sep 2022
https://en.khl.ru/players/22616/?idplayer=22616&PAGEN_1=1,Maxim A. Afanasyev,Spartak,2 Dec 2021,2 Dec 2021
https://en.khl.ru/players/22616/?idplayer=22616&PAGEN_1=1,Maxim A. Afanasyev,Severstal,7 Sep 2020,12 Nov 2020
https://en.khl.ru/players/22616/?idplayer=22616&PAGEN_1=1,Maxim A. Afanasyev,Lokomotiv,23 Aug 2017,27 Feb 2020
https://en.khl.ru/players/31046/?idplayer=31046&PAGEN_1=1,Yegor Afanasyev,CSKA,10 Nov 2020,28 Apr 2021
https://en.khl.ru/players/13121/?idplayer=13121&PAGEN_1=1,Maxim Afinogenov,Dynamo Msk,4 Sep 2019,10 Mar 2020
https://en.khl.ru/players/13121/?idplayer=13121&PAGEN_1=1,Maxim Afinogenov,HC Dynamo M,2 Sep 2018,24 Sep 2018
https://en.khl.ru/players/13121/?idplayer=13121&PAGEN_1=1,Maxim Afinogenov,Vityaz,6 Sep 2013,1 Mar 2018
https://en.khl.ru/players/13121/?idplayer=13121&PAGEN_1=1,Maxim Afinogenov,SKA,9 Sep 2010,1 Apr 2013
https://en.khl.ru/players/20844/?idplayer=20844&PAGEN_1=1,Semyon Afonasyevsky,Traktor,1 Sep 2015,23 Jan 2017
https://en.khl.ru/players/33320/?idplayer=33320&PAGEN_1=1,Alexander Agapov,Severstal,15 Sep 2021,4 Dec 2021
https://en.khl.ru/players/15376/?idplayer=15376&PAGEN_1=1,Ivan Ageyev,CSKA,22 Sep 2008,22 Sep 2008
https://en.khl.ru/players/40283/?idplayer=40283&PAGEN_1=1,Kenny Agostino,Torpedo,2 Sep 2021,2 Mar 2023
https://en.khl.ru/players/23434/?idplayer=23434&PAGEN_1=1,Jonas Ahnelov,Avangard,25 Aug 2015,20 Jan 2018
https://en.khl.ru/players/18767/?idplayer=18767&PAGEN_1=1,Ari Ahonen,Admiral,4 Sep 2014,27 Sep 2014
https://en.khl.ru/players/18767/?idplayer=18767&PAGEN_1=1,Ari Ahonen,Barys,8 Sep 2013,8 Mar 2014
https://en.khl.ru/players/18767/?idplayer=18767&PAGEN_1=1,Ari Ahonen,Metallurg Mg,16 Nov 2011,5 Mar 2013
https://en.khl.ru/players/35353/?idplayer=35353&PAGEN_1=1,Danil Aimurzin,Salavat Yulaev,3 Oct 2020,11 Mar 2023
https://en.khl.ru/players/15218/?idplayer=15218&PAGEN_1=1,Johan Akerman,Lokomotiv,2 Sep 2008,12 Apr 2009
https://en.khl.ru/players/25739/?idplayer=25739&PAGEN_1=1,Jason Akeson,Admiral,20 Sep 2016,12 Nov 2016
https://en.khl.ru/players/25168/?idplayer=25168&PAGEN_1=1,Timur Akhiyarov,Sibir,1 Nov 2020,10 Mar 2023
https://en.khl.ru/players/25168/?idplayer=25168&PAGEN_1=1,Timur Akhiyarov,Admiral,2 Feb 2020,26 Feb 2020
